ID,333,333female,222,444,555,666,777,333bf,333fm,333oh,333ft,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf,name (competitor w/o WCAID)
2014KIMD06,X,,X,X,X,X,,,,X,X,X,X,X,X,,,,,
2017MAND10,X,,,,,,,X,,,,,,,,,,,,
2017ZENG08,X,,X,,,,,,,,,,,,,,,,,
2014LIDO01,X,,,,,,,X,,,,X,X,,,,,,,
2010YANG16,X,,X,X,,,,,X,,,,,X,,,,,,
2011FANG03,X,,,X,,,,,,,,,,,,,,,,
2017LAKK01,X,,X,,,,,,,,,,,,X,,,,,
2017LINY02,X,,X,,,,,,,,,,,X,,,,,,
2014HEDU01,X,,,X,X,X,X,,,,,,,,,,,,,
2016ZHOU16,X,,X,X,,,,X,,,,,,,,,,,,
0,X,X,X,,,,,,,,,,,X,,,,,,ALYSSA CHI (季家祺)
2017ZHAO44,X,X,X,,,,,,,,,,,X,X,,,,,
2013RIGO01,X,,,X,X,X,X,,,X,,,,,,,,,,
2016BOCA01,X,,X,X,,,,,,X,X,,,X,X,X,,,,
2015CHEJ02,X,,X,X,X,,,,,X,,,,,,,,,,
2011ZENG01,X,,,X,,,,X,X,,X,,,X,,,,,,
2012CHAN10,X,,X,X,X,,,,,,,,,,,,,,,
2013LEET01,X,,,X,,,,,,,,,,,,,,,,
2018LINY04,X,,X,,,,,,,,,,,,X,,,,,
2018LINY03,X,,X,,,,,,,,,,,,X,,,,,
2014HUZE01,X,,X,X,X,,,,,X,,,,X,X,,,,,
2017ZHAC04,X,,X,X,X,,X,,,,,,,,,,,,,
2013WANG55,X,,X,X,,,,,,,,,,X,,,,,,
2016LIAN22,X,,X,X,X,,,,,X,,,X,,,,,,,
2006HIGO01,X,,,,,,,,,X,,,,,,,,,,
2014HEYO01,X,,X,,,,,,,,,X,,X,X,X,,,,
2016WUYI02,X,,X,,,,,,,,,,,X,X,,,,,
2018KUOT01,X,X,,,,,,,,,,,,X,,,,,,
2009LIUA01,X,,X,,,,,,,,,,,,,,,,,
2018LINS03,X,,,,,,,,,,,,,,,,,,,
2011PIHE01,X,,X,X,X,X,X,,,X,,,,,,,,,,
2017NYMD01,X,,X,X,X,,,,,,,,,,,,,,,
2018HSIE02,X,,X,,,,,,,,,,,,,,,,,
2012ZHOU08,X,,,,,,,,,,,,,,X,,,,,
2013CHUC01,X,,X,X,X,X,X,,,X,X,X,X,X,X,X,,,,
2018CHRI07,X,,X,,,,,,,,,,,X,X,,,,,
2018LINT01,X,,X,,,,,,,,,,,X,X,,,,,
2013KODA01,X,,X,,,,,X,X,,,,,,,,X,,,
2017KUCH01,X,,X,,,,,,,,,,,,,,,,,
2018TSAI02,X,X,X,,,,,,,,,,,,,,,,,
2018LIJI08,X,,X,X,,,,,,X,,,,X,X,,,,,
2017HUJU01,X,,,X,X,X,X,,,,,,,,,,,,,
2017LUOY05,X,X,X,,,,,,X,,,,,,,,,,,
0,X,,,,,,,,,,,,,,,,,,,Li Ka Chun (李嘉晉)
2017LUWI01,X,,X,,,,,,,,,,,,,,,,,
2018WUCH01,X,,,,,,,,,,,,,X,,,,,,
2016HOBO01,X,,X,,,,,,,,,,,,,,,,,
0,X,,,,,,,,,,,,,,,,,,,Ming-Yang Song (宋明陽)
2016XIAZ02,X,,X,,,,,,,,,,,X,,,,,,
2013CHEN61,X,,,X,X,X,,,,,,,,,X,,,,,
2017CHEK01,X,,,,,,,,,,,,,,,,,,,
2016SHEN16,X,,X,,,,,,,,,,,X,X,,,,,
2017XURU04,X,,X,,,,,,,,,,,X,,,,,,
2018SAYS01,X,,X,,,,,,,,,,,X,X,,,,,
0,X,,X,,,,,,,,,,,,,,,,,Chih-Jou Yang (楊至柔)
2014LIME01,X,,X,X,,,,,,,,,,,,,,,,
0,X,X,,,,,,,,,,,,X,,,,,,Yee Yan Melody Tang (鄧綺恩)
2018CHIU02,X,,X,,,,,,,,,,,,,,,,,
0,X,,,,,,,,,,,,,X,,,,,,Hsin-Chen Chen (陳信辰)
0,X,,,,,,,,,,,,,,,,,,,Jhe-Yi Jheng (鄭哲毅)
2018CHEJ06,X,,,,,,,,,,,,,,,,,,,
2013YANX01,X,,X,X,,,,,,X,,,,X,X,,,,,
2015LIJI05,X,,,,,,,,,X,,,,,,,,,,
2018WANG84,X,,X,,,,,,,,,,,,,,,,,
0,X,,,,,,,,,,,,,,,,,,,Tzu-Chia Huang (黃子家)
2008HANG01,X,,X,X,X,X,X,,,,,,,,,X,,,,
2016KANH02,X,,X,,,,,,X,X,,,,,,,,,,
2015HSIE02,X,,X,X,,,,,,,,,,X,X,X,,,,
2018SUYU01,X,,X,,,,,,,,,,,X,X,,,,,
2018SHIH02,X,,X,,,,,,,,,,,,,,,,,
2018HUAN57,X,,,,,,,,,,,,,,,,,,,
2017TANI02,X,,X,,,,,,,,,,,,,,,,,
